city_id,grievance_id,ward_id,ward_name_raw,ward_name_canon,category_raw,sub_category_raw,category_norm,description,created_at,status,lat,lng
blr,20096407,14.0,Bagalagunte,Bagalakunte,Road Maintenance(Engg),Road cutting,ROADS,,2020-12-31 11:33:00,Closed,,
blr,20096406,,Subedarapalya,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:30:00,Closed,,
blr,20096405,105.0,Agrahara Dasarahalli,Agrahara Dasarahalli,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:28:00,Closed,,
blr,20096404,66.0,Subramanya Nagar,Subramanya Nagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:26:00,Closed,,
blr,20096403,72.0,Herohalli,Herohalli,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:23:00,Closed,,
blr,20096402,187.0,Puttenahalli,Puttenahalli,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:21:00,Closed,,
blr,20096401,25.0,Horamavu,Horamavu,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:16:00,Closed,,
blr,20096400,160.0,Rajarajeshwari Nagar,Rajarajeshwari Nagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:14:00,Closed,,
blr,20096399,67.0,Nagapura,Nagapura,Forest,Removal of dead/fallen trees,OTHER,,2020-12-31 11:12:00,Resolved,,
blr,20096398,,Rajamahal,,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 11:10:00,Closed,,
blr,20096397,,Jnanabharathi Ward,,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 11:09:00,Rejected,,
blr,20096396,45.0,Malleshwaram,Malleswaram,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:05:00,Closed,,
blr,20096395,50.0,Benniganahalli,Benniganahalli,Solid Waste (Garbage) Related,Dead animal(s),GARBAGE,,2020-12-31 08:37:00,Closed,,
blr,20096394,142.0,Sunkenahalli,Sunkenahalli,Road Maintenance(Engg),footpath encroachment,ROADS,,2020-12-31 10:50:00,Closed,,
blr,20096393,,Kavalbyrasandra,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:44:00,Closed,,
blr,20096392,40.0,Dodda Bidarkallu,Dodda Bidarakallu,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:41:00,Closed,,
blr,20096391,180.0,Banashankari Temple Ward,Banashankari Temple ward,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:39:00,Closed,,
blr,20096390,119.0,Dharmarayaswamy Temple Ward,Dharmaraya Swamy Temple,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:35:00,Closed,,
blr,20096389,128.0,Nagarabhavi,Nagarabhavi,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:34:00,Closed,,
blr,20096388,195.0,Konanakunte,Konankunte,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:26:00,Closed,,
